iter	Logloss
0	0.68712946
1	0.6805679664
2	0.6742015367
3	0.6683861807
4	0.6629782259
5	0.6569695205
6	0.6521215546
7	0.6466776816
8	0.6417010018
9	0.6364218465
10	0.6312141847
11	0.6272260687
12	0.6223658872
13	0.6175575685
14	0.6133430138
15	0.6088489575
16	0.6045530083
17	0.6014370865
18	0.5970578569
19	0.5924675759
20	0.58817557
21	0.5847025668
22	0.5804164758
23	0.5765312709
24	0.57272206
25	0.5695582186
26	0.5659677741
27	0.562904958
28	0.5595068771
29	0.555670106
30	0.5523801654
31	0.5491504883
32	0.5463622447
33	0.5433305033
34	0.5406887612
35	0.537832753
36	0.5354687551
37	0.5329231519
38	0.5307062985
39	0.5282775365
40	0.5263433564
41	0.5233950669
42	0.5205088412
43	0.5174983593
44	0.5155332758
45	0.5131066997
46	0.5107235426
47	0.5086968668
48	0.506570366
49	0.5047033074
50	0.5031043921
51	0.5005893064
52	0.4982285232
53	0.4964584608
54	0.494671768
55	0.4927018412
56	0.490998086
57	0.4888375957
58	0.4869644508
59	0.4851109794
60	0.4842067247
61	0.4825100845
62	0.4807128049
63	0.478290815
64	0.476534897
65	0.4751208873
66	0.4730781812
67	0.47102716
68	0.4697211191
69	0.468476199
70	0.4668568815
71	0.4650412999
72	0.4633516462
73	0.4619212633
74	0.4601363279
75	0.4583606934
76	0.4569712007
77	0.4557297524
78	0.4542963264
79	0.4525562244
80	0.451192963
81	0.4500177791
82	0.4493913115
83	0.44819924
84	0.447184702
85	0.4463218089
86	0.4451074064
87	0.44408061
88	0.4428950963
89	0.4418451545
90	0.4410907445
91	0.4403279337
92	0.4392972796
93	0.4381549707
94	0.437347755
95	0.4360087105
96	0.4348133387
97	0.433695761
98	0.4330337182
99	0.4318438755
100	0.4311284697
101	0.430372131
102	0.4294976224
103	0.4284565958
104	0.4277659641
105	0.4265270447
106	0.4256408349
107	0.4249845355
108	0.4242918036
109	0.4232130158
110	0.4225823049
111	0.4215300914
112	0.4212342594
113	0.420189161
114	0.4191328327
115	0.4184074402
116	0.4176756612
117	0.4168146969
118	0.4159308444
119	0.4153337371
120	0.4145343652
121	0.4139011254
122	0.4136620425
123	0.4132282814
124	0.4126472902
125	0.412544079
126	0.4118270874
127	0.4110821499
128	0.4103613864
129	0.4101345619
130	0.4094101981
131	0.4087721578
132	0.4084506946
133	0.4077620774
134	0.4073375745
135	0.4068058314
136	0.4061305014
137	0.4052870675
138	0.4048068443
139	0.404158903
140	0.4035589668
141	0.4031310778
142	0.4027745108
143	0.4023375779
144	0.4020170147
145	0.4015667519
146	0.401065012
147	0.4003412482
148	0.3999588356
149	0.399422292
150	0.3987580203
151	0.3983102006
152	0.3976550156
153	0.3970240904
154	0.3965605832
155	0.3959975511
156	0.3957732126
157	0.3951903783
158	0.3947965643
159	0.3941072614
160	0.3934442756
161	0.3929310488
162	0.3927773465
163	0.392362016
164	0.3918982517
165	0.3914691625
166	0.3910037266
167	0.3904879281
168	0.3901507774
