iter	Logloss
0	0.6872787476
1	0.6809259908
2	0.6750512284
3	0.6691911676
4	0.6639201132
5	0.6592071619
6	0.6542814876
7	0.6491384613
8	0.6440301959
9	0.6384740251
10	0.6329968056
11	0.6285708138
12	0.6234218297
13	0.6188015884
14	0.614615794
15	0.6104912061
16	0.6059997216
17	0.6017549065
18	0.5973433591
19	0.5949797041
20	0.5905500262
21	0.5882971689
22	0.5844182218
23	0.5802732318
24	0.5765028536
25	0.5726409226
26	0.5685270074
27	0.5645441634
28	0.5617782936
29	0.5583681257
30	0.5552971658
31	0.5517454254
32	0.5490143165
33	0.5456208218
34	0.5430779189
35	0.5412793106
36	0.5379922417
37	0.5349915322
38	0.532205003
39	0.529827418
40	0.5267997913
41	0.5246902637
42	0.5219544829
43	0.5190392826
44	0.5163367625
45	0.5135732929
46	0.5112618007
47	0.5096627996
48	0.5073328768
49	0.5049985821
50	0.5029660343
51	0.5011106341
52	0.4995004032
53	0.4970349944
54	0.4954428941
55	0.4937859867
56	0.4915826347
57	0.4900908309
58	0.48866512
59	0.4864255069
60	0.48493126
61	0.4829804924
62	0.4810893027
63	0.4790261086
64	0.4770090339
65	0.4754528946
66	0.473656215
67	0.4727375159
68	0.4715718902
69	0.470504075
70	0.4690517897
71	0.4673770519
72	0.4656840978
73	0.464184236
74	0.4630480991
75	0.461921349
76	0.4603844118
77	0.4584815636
78	0.4571054009
79	0.4563166586
80	0.4551657345
81	0.4536419986
82	0.4524815592
83	0.4511961348
84	0.4496946871
85	0.4484455237
86	0.4471691003
87	0.4457271447
88	0.4444091025
89	0.4435388801
90	0.4423234061
91	0.4412783933
92	0.4399707237
93	0.4389855888
94	0.438095007
95	0.4369474261
96	0.4360806754
97	0.4351636051
98	0.4342672369
99	0.4333110338
100	0.4322358892
101	0.4313487364
102	0.4302252009
103	0.4294880213
104	0.4283806876
105	0.427880105
106	0.426987423
107	0.426272703
108	0.4254379272
109	0.4245924789
110	0.4237216135
111	0.422804286
112	0.4219492366
113	0.4211617802
114	0.4206363807
115	0.4200678193
116	0.4191705511
117	0.4185196952
118	0.417867682
119	0.4169558407
120	0.4162730528
121	0.415794544
122	0.4151510603
123	0.4144184241
124	0.4138806375
125	0.4132856305
126	0.4123397999
127	0.4113640089
128	0.4106195857
129	0.4098161419
130	0.409360607
131	0.4086707469
132	0.4078984636
133	0.4073549764
134	0.4066595442
135	0.4059643692
136	0.4055226358
137	0.4051050765
138	0.4047370653
139	0.4044146591
140	0.4038677859
141	0.4034382252
142	0.402970389
143	0.4025585732
144	0.4020514756
145	0.4013979622
146	0.4008729913
147	0.4005613434
148	0.4001928608
149	0.3996654468
150	0.3991456621
151	0.3989266385
152	0.3982426504
153	0.3978248339
154	0.3971912513
155	0.3967375166
156	0.3964292119
157	0.3960161531
158	0.3955987223
159	0.3950983969
160	0.3946708936
161	0.3943682038
162	0.3939466584
163	0.3933789543
164	0.3927983916
165	0.3922065992
166	0.3918476748
167	0.3915353411
168	0.3911302974
169	0.3905065729
170	0.3902293859
171	0.3899274247
172	0.3895715864
173	0.3892114189
174	0.3890235129
175	0.3888232628
176	0.3883350672
177	0.3880963701
178	0.3875549831
179	0.3871445817
180	0.3867744703
181	0.3865379591
182	0.3862428987
183	0.3859952434
184	0.3855779412
185	0.3852328611
186	0.3851709687
187	0.3848566205
188	0.384631982
189	0.3841891771
190	0.3839110471
191	0.3837156403
192	0.383345186
193	0.3828020417
194	0.3823249903
195	0.3821136818
196	0.3819916972
197	0.3817673587
198	0.3814870427
199	0.3811304328
200	0.3808331007
201	0.3805844596
202	0.3802895278
203	0.380048859
204	0.3797865878
205	0.3796679036
206	0.3794227343
207	0.3792232128
208	0.3789694282
209	0.3787913805
210	0.3786778825
211	0.3785067355
212	0.3782145468
213	0.3778223188
214	0.377563348
215	0.377412346
216	0.3773761278
217	0.3771280867
218	0.377019475
219	0.3769027196
220	0.3767118561
221	0.3764028656
222	0.376208959
223	0.3758217458
